session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 3,Wearable and Wireless Biomedical Systems,3.3,A Battery-Powered Hybrid Resonant Pulse-Train Generator with,,,22
Session 3,Wearable and Wireless Biomedical Systems,3.3,A Battery-Powered Hybrid Resonant Pulse-Train Generator with,,,31
Session 3,Wearable and Wireless Biomedical Systems,3.4,An Ultrasound-Powering TX with Standing-Wave Peak Tracking,,,31
Session 3,Wearable and Wireless Biomedical Systems,3.4,An Ultrasound-Powering TX with Standing-Wave Peak Tracking,,,22
Session 3,Wearable and Wireless Biomedical Systems,3.5,A Simultaneous Wireless Power and Full-Duplex Data Transfer,,,31
Session 3,Wearable and Wireless Biomedical Systems,3.5,A Simultaneous Wireless Power and Full-Duplex Data Transfer,,,22
Session 4,Analog Techniques & Ampliﬁers,4.1,"A 0.64mA, -108.2dB THD+N Class-D Ampliﬁer with",,,23
Session 4,Analog Techniques & Ampliﬁers,4.2,"A -102.2dB THD+N, 92% Efﬁciency, 1.08mW Idle Power",,,23
Session 4,Analog Techniques & Ampliﬁers,4.3,"A 0.6V 9.4 μW 1,892 μm2 Current-Pulse-Injection Crystal",,,57
Session 4,Analog Techniques & Ampliﬁers,4.3,"A 0.6V 9.4 μW 1,892 μm2 Current-Pulse-Injection Crystal",,,23
Session 4,Analog Techniques & Ampliﬁers,4.4,A 2.1-to-3.7ppm/°C Bandgap Voltage Reference with a,,,23
Session 4,Analog Techniques & Ampliﬁers,4.5,A 1ppm/°C and ±0.066% 3 σ Accuracy Bandgap Reference with,,,57
Session 4,Analog Techniques & Ampliﬁers,4.5,A 1ppm/°C and ±0.066% 3 σ Accuracy Bandgap Reference with,,,23
Session 4,Analog Techniques & Ampliﬁers,4.6,An Integrated Voltage and Current Reference Together,,,23
Session 4,Analog Techniques & Ampliﬁers,4.6,An Integrated Voltage and Current Reference Together,,,57
Session 5,Sub-THz and mm-Wave Phased Arrays and Beamformers,5.1,A Formation Flight Phased-Array Transceiver for Spatial Power,,,24
Session 5,Sub-THz and mm-Wave Phased Arrays and Beamformers,5.2,A 28GHz Frequency-Diverse Sub-Array TX with Secret Phase Keys,,,24
Session 5,Sub-THz and mm-Wave Phased Arrays and Beamformers,5.3,"SPARTA: A Scalable, Programmable and Active mm-Wave",,,24
Session 5,Sub-THz and mm-Wave Phased Arrays and Beamformers,5.3,"SPARTA: A Scalable, Programmable and Active mm-Wave",,,31
Session 5,Sub-THz and mm-Wave Phased Arrays and Beamformers,5.4,A 140GHz Full-Duplex CMOS Transceiver with Metasurface-,,,24
Session 6,Exploratory Receiver Architectures from GHz to THz,6.1,Full-Duplex RF Canceler Achieving Wideband High-SI-Power,,,25
Session 6,Exploratory Receiver Architectures from GHz to THz,6.2,A Phased-Array-Inspired Broadband RF Signal Processor for,,,25
Session 6,Exploratory Receiver Architectures from GHz to THz,6.3,A 2×2 10GS/s TTD BF Receiver Utilizing Charge-Based,,,57
Session 6,Exploratory Receiver Architectures from GHz to THz,6.3,A 2×2 10GS/s TTD BF Receiver Utilizing Charge-Based,,,25
Session 6,Exploratory Receiver Architectures from GHz to THz,6.4,A 436-to-472GHz 4-Element IF Beamforming Phased-Array,,,25
Session 6,Exploratory Receiver Architectures from GHz to THz,6.5,A 26/28/37/39GHz Reconﬁgurable Fully Connected MIMO,,,25
Session 7,Image Sensors and Ranging,7.1,54×42 LiDAR 3D-Stacked System-On-Chip with On-Chip Point,,,31
Session 7,Image Sensors and Ranging,7.1,54×42 LiDAR 3D-Stacked System-On-Chip with On-Chip Point,,,26
Session 7,Image Sensors and Ranging,7.2,VoxCAD: A 0.82-to-81.0mW Intelligent 3D-Perception dToF SoC,,,26
Session 7,Image Sensors and Ranging,7.3,"A Multi-Range, Multi-Resolution LiDAR Sensor with",,,26
Session 7,Image Sensors and Ranging,7.4,A 480×320 CMOS LiDAR Sensor with Tapering 1-Step,,,26
Session 7,Image Sensors and Ranging,7.4,A 480×320 CMOS LiDAR Sensor with Tapering 1-Step,,,31
Session 7,Image Sensors and Ranging,7.5,A 26.0mW 30fps 400x300-pixel SWIR Ge-SPAD dToF Range,,,26
Session 7,Image Sensors and Ranging,7.6,A 128×96 Multimodal Flash LiDAR SPAD Imager with Object,,,27
Session 7,Image Sensors and Ranging,7.7,A Fully Reconﬁgurable Hybrid SPAD Vision Sensor with 134dB,,,27
Session 7,Image Sensors and Ranging,7.8,A 55nm Intelligent Vision SoC Achieving 346TOPS/W System,,,27
Session 7,Image Sensors and Ranging,7.8,A 55nm Intelligent Vision SoC Achieving 346TOPS/W System,,,57
Session 7,Image Sensors and Ranging,7.9,A 1.09e--Random-Noise 1.5μm-Pixel-Pitch 12MP Global-Shutter-,,,27
Session 7,Image Sensors and Ranging,7.10,A 200MP 0.61 μm-Pixel-Pitch CMOS Imager with Sub-1e- Readout,,,27
Session 7,Image Sensors and Ranging,7.10,A 200MP 0.61 μm-Pixel-Pitch CMOS Imager with Sub-1e- Readout,,,57
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.1,A 48Gb/s/lane 1.24Tb/s/mm UCIe-Compliant Die-to-Die Link Over,,,28
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.2,A 32Gb/s 12.35Tb/s/mm2 0.36pJ/b UCIe-Like Die-to-Die Interface,,,28
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.3,A 0.23pJ/b 24Gb/s Modular D2D Interface With Zero Wake Penalty,,,28
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.4,A 112Gb/s/wire Single-Ended Simultaneous Bi-Directional,,,28
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.5,A 112Gb/s 0.76pJ/b Reference-less Mixed-Signal PAM-4 CDR in,,,28
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.6,A 280mW 112Gb/s PAM-4/NRZ Transceiver for Low-Power IOs in,,,29
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.7,A 112Gb/s PAM-4 SBD Transceiver with Mismatch-Compensated,,,29
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.8,A 0.292pJ/b 56Gb/s/wire Capacitively Driven Simultaneous,,,29
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.9,A 72Gb/s/pin Single-Ended Simultaneous Bi-Directional,,,29
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.10,A 180-to-240Gb/s Analog-Intensive PAM-4 Transmitter with,,,29
Session 8,Die-to-Die and High-Speed Electrical Transceivers,8.11,A 1.59pJ/b 112Gb/s PAM-4 and 1.06pJ/b 168Gb/s PAM-8,,,29
Session 9,Wireless Power,9.1,A Single-Power-Link 13.56MHz Wireless Power and Data Transfer,,,30
Session 9,Wireless Power,9.2,A 91%-Efﬁciency Single-Stage Bipolar Quad-Output Regulating,,,30
Session 9,Wireless Power,9.3,An Output-Domain-Independent Single-Transmitter-Dual-,,,30
Session 9,Wireless Power,9.4,A Multi-Coil Scalable Energy-Shared Wireless Power Receiver,,,30
Session 10,Digital Processing and Circuit Techniques,10.1,"A 3nm, 400TOPS, 1080k DMIPS SoC with Chiplet Support for ASIL",,,34
Session 10,Digital Processing and Circuit Techniques,10.1,"A 3nm, 400TOPS, 1080k DMIPS SoC with Chiplet Support for ASIL",,,32
Session 10,Digital Processing and Circuit Techniques,10.2,A Dynamic Performance Augmentation in a 3nm-Plus Mobile CPU,,,34
Session 10,Digital Processing and Circuit Techniques,10.3,A 2nm Clock-Edge Architecture for Processor Clock-Power,,,34
Session 10,Digital Processing and Circuit Techniques,10.4,A 0.008mm2 16-to-1600MHz All-Digital Fractional Divider Using,,,34
Session 10,Digital Processing and Circuit Techniques,10.5,Proactive Power Management-Based Supply Regulation with,,,34
Session 10,Digital Processing and Circuit Techniques,10.6,A Hybrid-Bonded 12.1TOPS/mm2 56-Core DNN Processor with,,,35
Session 10,Digital Processing and Circuit Techniques,10.6,A Hybrid-Bonded 12.1TOPS/mm2 56-Core DNN Processor with,,,32
Session 10,Digital Processing and Circuit Techniques,10.7,A 28nm Mode-Reconﬁgurable CAM-CIM Hybrid Complete 3-SAT,,,35
Session 10,Digital Processing and Circuit Techniques,10.8,COBI: A Degree-of-56 Column-Bipartite Densely Connected,,,35
Session 10,Digital Processing and Circuit Techniques,10.9,SharpSAT: A Heuristic-Learning-Based SAT Accelerator Achieving,,,35
Session 10,Digital Processing and Circuit Techniques,10.10,PCIM-SAT: A 55nm Probabilistic K-SAT Solver with p-Bit-Based,,,35
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.1,A 14b 400MS/s TDC-Assisted Pipelined-SAR ADC with,,,36
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.2,A 28nm CMOS SAR-Based Continuous-Time Pipeline ADC with,,,36
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.3,A 500MS/s 12b Pipe-SAR ADC Using a Triple-Cascode FIA with,,,36
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.4,A 13b 500MS/s 94dB-SFDR Resistive-Input Pipelined-SAR ADC,,,36
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.5,A Compact 7b 175GS/s Linearized Time-Interleaved Slope ADC,,,37
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.6,An 8b 20GS/s Time-Interleaved ADC with 2.6mW 1GS/s,,,37
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.7,A 12b 12GS/s Two-Way Interleaved Pipeline ADC with Integrated,,,37
Session 11,Pipeline and Ultra-High-Speed Data Converters,11.8,A 14b 20GS/s RF-Sampling DAC Achieving 70.4dBc IMD3 up to,,,37
Session 12,Frequency Synthesizers and VCOs,12.1,"A 74fs-Jitter, −59dBc-Spur Fractional-N DPLL Using a",,,38
Session 12,Frequency Synthesizers and VCOs,12.2,A Fractional-N Digital PLL with a Supply-Insensitive DTC,,,38
Session 12,Frequency Synthesizers and VCOs,12.3,A –66dBc-Worst-Fractional-Spur and 58fs-Jitter Fractional-N,,,38
Session 12,Frequency Synthesizers and VCOs,12.4,"A 21.6fsrms-Jitter, -260.7dB-FoM Fractional-N PLL Enabled by",,,38
Session 12,Frequency Synthesizers and VCOs,12.5,A 14GHz Chopper-Refolding Sampling PLL Achieving 33.8fsrms,,,39
Session 12,Frequency Synthesizers and VCOs,12.6,A 0.65-to-1V-VDD 10.5-to-11.85GHz Fractional-N Sampling PLL,,,39
Session 12,Frequency Synthesizers and VCOs,12.7,A 7.15-to-7.95GHz Magnetically Enhanced Feedforward,,,39
Session 12,Frequency Synthesizers and VCOs,12.8,A 5.7mW@0.55V-to-50mW@0.9V Deeply Power-Scalable,,,39
Session 12,Frequency Synthesizers and VCOs,12.9,A 10.2-to-16.2GHz Dual-Mode-Transformer-Based Wideband,,,39
Session 13,Circuits for AI and AI for Circuits,13.1,"HYDAR: A 390K QPS, 1574K QPS/W Hybrid Analog/Digital",,,32
Session 13,Circuits for AI and AI for Circuits,13.1,"HYDAR: A 390K QPS, 1574K QPS/W Hybrid Analog/Digital",,,40
Session 13,Circuits for AI and AI for Circuits,13.2,AI-Enabled End-to-End Design in RFICs with Controllable,,,32
Session 13,Circuits for AI and AI for Circuits,13.2,AI-Enabled End-to-End Design in RFICs with Controllable,,,40
Session 13,Circuits for AI and AI for Circuits,13.3,Medusa: A Quantum-Inspired 200-Variable 1016-Clause Analog,,,40
Session 13,Circuits for AI and AI for Circuits,13.4,An Inverse-Designed Passively Coupled N-Path Filter,,,40
Session 13,Circuits for AI and AI for Circuits,13.5,A Nonintuitively Frequency-Staggered Wideband mm-Wave,,,40
Session 14,Unusual Interconnects and Other Uses for Light,14.1,THz-TSI: A 0.33pJ/b 264Gb/s Through-Silicon Interconnect,,,41
Session 14,Unusual Interconnects and Other Uses for Light,14.1,THz-TSI: A 0.33pJ/b 264Gb/s Through-Silicon Interconnect,,,32
Session 14,Unusual Interconnects and Other Uses for Light,14.2,An 8λ×38Gb/s/λ 106fJ/b Optical WDM Transmitter in 45nm,,,41
Session 14,Unusual Interconnects and Other Uses for Light,14.3,A Single-Chip Laser Diode Driver with Built-In Frequency-Sweep,,,41
Session 14,Unusual Interconnects and Other Uses for Light,14.4,A 40Gb/s 8mW-OMA 1-to-N VCSEL Driver for Parallel and,,,32
Session 14,Unusual Interconnects and Other Uses for Light,14.4,A 40Gb/s 8mW-OMA 1-to-N VCSEL Driver for Parallel and,,,41
Session 14,Unusual Interconnects and Other Uses for Light,14.5,Highly-Integrated Light-Sensing System with RF Harvesting and,,,41
Session 14,Unusual Interconnects and Other Uses for Light,14.6,Self-Programmable Twin PUFs via Photovoltaic Energy,,,41
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.1,A 2Tb 4b/Cell 6-Plane 3D-Flash Memory with 37.6Gb/mm2 Bit,,,42
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.2,A 350mV Single-Rail SRAM Using Custom-Logic-Bitcell in,,,42
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.3,An 8nm eMRAM for Auto-G1 with Read-Speed of 125MHz and,,,42
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.4,"A 16nm 168Mb Embedded STT-MRAM with 0.0249μm2 Bit-Cell,",,,42
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.5,A 3nm 0.167fJ/b 5.27Mb/mm2 Conﬁgurable TCAM with,,,42
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.6,"A 36GB 3.3TB/s HBM4 DRAM with Per-Channel TSV RDQS, Auto",,,43
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.7,"A 1cnm 14.4Gb/s/pin 16Gb LPDDR6 SDRAM with Efﬁciency Mode,",,,43
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.8,A 16Gb 12.8Gb/s LPDDR6 SDRAM with 12-DQ/Sub-Channel Wide,,,43
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.9,A 48Gb/s 24Gb GDDR7 DRAM for Mid-Range Inference AI with,,,43
Session 15,"DRAM, SRAM, and Non-Volatile Memories",15.10,A Vertical-Cell-Transistor(VCT)-Based 4F2 DRAM with,,,43
Session 16,"Energy Harvesting, Piezo and Chargers",16.1,PV Energy-Harvesting Interface Using Reconﬁgurable Self-Clamp,,,44
Session 16,"Energy Harvesting, Piezo and Chargers",16.2,A Bias-Flip-Based Piezoelectric Energy Harvesting Interface with,,,44
Session 16,"Energy Harvesting, Piezo and Chargers",16.3,A Fully Integrated Piezoelectric Energy-Harvesting Interface with,,,44
Session 16,"Energy Harvesting, Piezo and Chargers",16.4,A One-Stage Bidirectional Rectiﬁer with Pre-Charge-Based MPPT,,,44
Session 16,"Energy Harvesting, Piezo and Chargers",16.5,A Single-Inductor Multi-Channel Thermoelectric Energy,,,32
Session 16,"Energy Harvesting, Piezo and Chargers",16.5,A Single-Inductor Multi-Channel Thermoelectric Energy,,,44
Session 16,"Energy Harvesting, Piezo and Chargers",16.6,A Parameter-Free Runtime-Energy-Loss Optimizer Achieving,,,45
Session 16,"Energy Harvesting, Piezo and Chargers",16.7,A 90.7%-Efﬁciency Piezoelectric Resonator-Based Sigma,,,45
Session 16,"Energy Harvesting, Piezo and Chargers",16.7,A 90.7%-Efﬁciency Piezoelectric Resonator-Based Sigma,,,32
Session 16,"Energy Harvesting, Piezo and Chargers",16.8,A Battery Charger Based On Mesh-Connection 2×CF,,,45
Session 16,"Energy Harvesting, Piezo and Chargers",16.9,A 96.6% Single-Mode Hybrid Dual-Path Buck-Boost Converter,,,45
Session 16,"Energy Harvesting, Piezo and Chargers",16.10,Fully Integrated mm-Scale 5G RF MIMO Harvester with -40dBm,,,45
Session 16,"Energy Harvesting, Piezo and Chargers",16.10,Fully Integrated mm-Scale 5G RF MIMO Harvester with -40dBm,,,32
Session 17,Highlighted Chip Releases for AI,17.1,NVIDIA GB10: SoC Built for AI Acceleration,,,46
Session 17,Highlighted Chip Releases for AI,17.2,The STM32N6 Microcontroller: Enabling Intelligent Edge AI for,,,46
Session 17,Highlighted Chip Releases for AI,17.2,The STM32N6 Microcontroller: Enabling Intelligent Edge AI for,,,32
Session 17,Highlighted Chip Releases for AI,17.2,The STM32N6 Microcontroller: Enabling Intelligent Edge AI for,,,57
Session 17,Highlighted Chip Releases for AI,17.3,"An Edge Platform Efﬁciently Serving Large-Batch LLMs,",,,46
Session 17,Highlighted Chip Releases for AI,17.3,"An Edge Platform Efﬁciently Serving Large-Batch LLMs,",,,57
Session 17,Highlighted Chip Releases for AI,17.3,"An Edge Platform Efﬁciently Serving Large-Batch LLMs,",,,32
Session 17,Highlighted Chip Releases for AI,17.4,Maia AI Accelerator,,,46
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.1,A 3.19pJ/b Electro-Optical Router with 18ns Setup Frame-Level,,,47
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.2,A 22nm 1.87ms/Frame Streaming Multi-Speaker ASR Accelerator,,,47
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.3,SMoLPU: 122.1 μJ/Token Sparse MoE-Based Speculative,,,33
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.3,SMoLPU: 122.1 μJ/Token Sparse MoE-Based Speculative,,,47
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.4,SpikeRAM: A 48.1pW/Synapse/Bit Event-Driven Spiking,,,33
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.4,SpikeRAM: A 48.1pW/Synapse/Bit Event-Driven Spiking,,,47
Session 18,Technology and Circuits for Domain-Speciﬁc Accelerators,18.5,A 28nm 47.3TFLOPs/W 894mJ/Inference Visual Autoregressive,,,47
Session 19,"High-Voltage, Isolated and Display Power",19.1,Piggybacked SC-on-CSCR: A Modular On-Chip,,,48
Session 19,"High-Voltage, Isolated and Display Power",19.2,A Three-Mode Single-Inductor Four-Quadrant Converter Achieving,,,48
Session 19,"High-Voltage, Isolated and Display Power",19.3,A 94.8%-Peak-Efﬁciency Double Step-Up SIBO Converter,,,48
Session 19,"High-Voltage, Isolated and Display Power",19.4,A Digital-Feedback Active-Gate-Driver IC for 600A 1200V SiC,,,48
Session 19,"High-Voltage, Isolated and Display Power",19.5,A Binary-Weighted Switched-Capacitor Gate Driver IC for,,,48
Session 19,"High-Voltage, Isolated and Display Power",19.6,A 68%-Peak-Efﬁciency Single-Transformer Multi-Output Isolated,,,49
Session 19,"High-Voltage, Isolated and Display Power",19.7,A Hybrid Bipolar-Output Isolated Converter with +15V/–5V Outputs,,,49
Session 19,"High-Voltage, Isolated and Display Power",19.8,A Fully Integrated Bidirectional 5-Level Isolated DC-DC Converter,,,49
Session 19,"High-Voltage, Isolated and Display Power",19.8,A Fully Integrated Bidirectional 5-Level Isolated DC-DC Converter,,,33
Session 19,"High-Voltage, Isolated and Display Power",19.9,A 2.15W 120V/230Vac to 5-to-12Vdc Ofﬂine Power Converter with,,,49
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.1,An Ultra-Compact Asymmetrically Load-Pulled Series Doherty,,,50
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.2,A High Back-off Efﬁciency Unequal-Stacked Doherty Power,,,50
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.3,A mm-Wave Doherty Power Ampliﬁer in a Single-Path Footprint,,,50
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.3,A mm-Wave Doherty Power Ampliﬁer in a Single-Path Footprint,,,57
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.4,"An Ultra-Compact, Inherently Resilient FR3 Source-Follower",,,50
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.4,"An Ultra-Compact, Inherently Resilient FR3 Source-Follower",,,57
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.5,A 24-to-27.5GHz Self-Adaptive Load-Modulated Balanced,,,50
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.6,A 330-to-344GHz GaN Power Ampliﬁer with Maximum-Available-,,,51
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.7,An Ultra-Compact D-Band Transceiver Front-End Based on a,,,51
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.8,A 16-to-256QAM G-Band Subharmonic Phase-Modulating,,,33
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.8,A 16-to-256QAM G-Band Subharmonic Phase-Modulating,,,51
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.9,A Compact 26/38GHz-Reconﬁgurable Dual-Band Low-Noise,,,51
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.9,A Compact 26/38GHz-Reconﬁgurable Dual-Band Low-Noise,,,33
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.10,A 214-to-242GHz Miniaturized Co-Packaged PA-Antenna Array,,,51
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.10,A 214-to-242GHz Miniaturized Co-Packaged PA-Antenna Array,,,33
Session 20,RF Transceiver Subsystems from cm-Wave to THz,20.11,A 215GHz 8×8 Radiator-Oscillator Array with Robust Coupling,,,51
Session 21,Sensor Interfaces,21.1,"Sub-1mV-Accuracy, 24-CH Synchronous Battery Monitoring IC",,,52
Session 21,Sensor Interfaces,21.2,A Fully Integrated GMR Biosensor with On-Chip Coils and Sensors,,,57
Session 21,Sensor Interfaces,21.2,A Fully Integrated GMR Biosensor with On-Chip Coils and Sensors,,,52
Session 21,Sensor Interfaces,21.3,A Temperature- and Aging-Compensated TMR Current Sensor,,,52
Session 21,Sensor Interfaces,21.4,A Background-Calibrated NPN-Based Temperature Sensor with,,,52
Session 21,Sensor Interfaces,21.5,A 0.6V 625um2 Fully Stacked RC-Based Temperature Sensor,,,52
Session 21,Sensor Interfaces,21.6,A ±60mA-Inaccuracy Low-Side Average Current Sensor with,,,53
Session 21,Sensor Interfaces,21.7,A Battery-Free Wireless Electrochemical-Interface SoC Featuring,,,33
Session 21,Sensor Interfaces,21.7,A Battery-Free Wireless Electrochemical-Interface SoC Featuring,,,53
Session 21,Sensor Interfaces,21.8,A CMOS Hybrid Common-Gate Current-Integrating Sampler with,,,53
Session 21,Sensor Interfaces,21.9,A -82.3dB THD+N 60V Fully Integrated Shunt-Resistor-Based,,,53
Session 22,Circuits in Extreme Environments,22.1,A Cryo-CMOS Color-Center Quantum Controller with Diamond,,,54
Session 22,Circuits in Extreme Environments,22.2,A 16-Channel Low-Power Cryo-CMOS Flux Control Pulse,,,54
Session 22,Circuits in Extreme Environments,22.3,A Multi-Qubit Cryo-CMOS SoC with Polar-Based Electron-Spin and,,,54
Session 22,Circuits in Extreme Environments,22.4,A Radiation-Hardened Self-Healing CMOS Imager with Online,,,54
Session 22,Circuits in Extreme Environments,22.5,A 500kGy Radiation-Hardened 2.4GHz Wi-Fi Receiver for,,,54
Session 23,Next-Generation Optical Transceivers,23.1,A 32Gb/s/ λ 256Gb/s/Fiber Half-Rate Bandpass-Filtered,,,55
Session 23,Next-Generation Optical Transceivers,23.2,A 2-Channel 800Gb/s Transceiver for Coherent-Lite Applications,,,33
Session 23,Next-Generation Optical Transceivers,23.2,A 2-Channel 800Gb/s Transceiver for Coherent-Lite Applications,,,55
Session 23,Next-Generation Optical Transceivers,23.3,A 2×500Gb/s Monolithic Silicon-Photonic DWDM PAM-4,,,55
Session 23,Next-Generation Optical Transceivers,23.3,A 2×500Gb/s Monolithic Silicon-Photonic DWDM PAM-4,,,33
Session 23,Next-Generation Optical Transceivers,23.4,A 6.4Tb/s 4.2pJ/b Co-Packaged Optics ASIC with Direct-Drive,,,55
Session 23,Next-Generation Optical Transceivers,23.4,A 6.4Tb/s 4.2pJ/b Co-Packaged Optics ASIC with Direct-Drive,,,33
Session 23,Next-Generation Optical Transceivers,23.5,A 212Gb/s/ λ 0.91 pJ/b Direct-Drive O-Band Monolithic Coherent,,,55
Session 23,Next-Generation Optical Transceivers,23.6,A 112Gb/s NRZ Heterodyne Detection 23ns Settled Burst-Mode,,,55
Session 24,Displays,24.1,A 28nm CMOS 1-Chip In-Pixel Memory Backplane Circuit with,,,56
Session 24,Displays,24.2,A 4042-PPI 10b 240Hz Digital-PWM CMOS Backplane for,,,56
Session 24,Displays,24.3,A 144mW 161Mpixels/s Tensor Display Processor for 3D Virtual,,,56
Session 24,Displays,24.4,A 512ch 10b Source-Driver IC with Current-Mode Auto-Zeroing,,,56
Session 24,Displays,24.5,A 10b Display Driver IC with a Pivoting Translinear-Loop,,,56
Session 24,Displays,24.6,A Touch-Embedded OLED Display-Driver IC with Display Noise,,,56
Session 25,Hardware Security,25.1,HERACLES: 8192-Way SIMD Programmable Scalable,,,60
Session 25,Hardware Security,25.1,HERACLES: 8192-Way SIMD Programmable Scalable,,,57
Session 25,Hardware Security,25.2,A 28nm 0.48mJ/boot Torus FHE Processor for Arbitrary,,,60
Session 25,Hardware Security,25.3,A 16nm 0.042mm2 0.66uJ/Ops Lightweight MLWE PQC KEM with,,,57
Session 25,Hardware Security,25.3,A 16nm 0.042mm2 0.66uJ/Ops Lightweight MLWE PQC KEM with,,,60
Session 25,Hardware Security,25.4,OmniCrypt: A 435.86M-GOPS/W Bootstrappable Multi-Scheme,,,60
Session 25,Hardware Security,25.5,A 0.05mm2 1.19-to-7.34mW SQIsign-1D Isogeny-Based,,,60
Session 25,Hardware Security,25.6,A 17%/27% Area-/Energy-Overhead Glitch-Transition Secure,,,61
Session 25,Hardware Security,25.7,TinyPAD: A 166μm2/lane Variation-Tolerant Probing-Attack,,,61
