session No.,session_theme(proxy_subcommittee),paper no.,paper title,first author country,last author country,page_index
Session 7,Ultra-High-Speed Wireline ,7.2,A 2.2pJ/b 212.5Gb/s PAM-4 Transceiver with >46dB Reach in 5nm,United States,Canada,27
Session 7,Ultra-High-Speed Wireline ,7.3,A 1.11pJ/b 224Gb/s XSR Receiver with Slice-Based CTLE and,China,China,27
Session 7,Ultra-High-Speed Wireline ,7.4,A 112Gb/s DSP-Based PAM-4 Receiver with an LC-Resonator-,United States,Taiwan,27
Session 7,Ultra-High-Speed Wireline ,7.5,A 353mW 112Gb/s Discrete Multitone Wireline Receiver Datapath,Korea,Switzerland,28
Session 7,Ultra-High-Speed Wireline ,7.6,A 2.06pJ/b 106.25Gb/s PAM-4 Receiver with 3-Tap FFE and 1-Tap,Taiwan,Taiwan,28
Session 7,Ultra-High-Speed Wireline ,7.7,"A 50Gb/s Burst-Mode NRZ Receiver with 5-Tap FFE, 7-Tap DFE",China,China,28
Session 7,Ultra-High-Speed Wireline ,7.8,A Reference-less CDR Using SAR-Based Frequency-Acquisition,China,China,28
Session 7,Ultra-High-Speed Wireline ,7.9,A 60Gb/s NRZ Burst-Mode CDR with Cross-Injection Locking and,China,China,28
Session 7,Ultra-High-Speed Wireline ,7.1,An 8-to-28GHz 8-Phase Clock Generator Using Dual-Feedback,China,China,28
Session 2,Ultra-High-Speed Wireline ,2.5,A 16nm 5.7TOPS CNN Processor Supporting Bi-Directional FPN,,,29
Session 2,Ultra-High-Speed Wireline ,2.6,1.78mJ/Frame 373fps 3D GS Processor Based on Shape-Aware,,,29
Session 2,Ultra-High-Speed Wireline ,2.7,IRIS: An 8.55mJ/frame Spatial Computing SoC for Interactable,,,29
Session 2,Ultra-High-Speed Wireline ,2.9,STEP: An 8K-60fps Space-Time Resolution-Enhancement,,,29
Session 4,Ultra-High-Speed Wireline ,4.2,A 1.8-to-3.0GHz Fully Integrated All-In-One CMOS Frequency,,,29
Session 4,Ultra-High-Speed Wireline ,4.3,"A 0.36nW, 820μm2, 32kHz Conduction-Angle-Adaptive Crystal",,,29
Session 6,Ultra-High-Speed Wireline ,6.1,A 3-Stacked Hybrid-Shutter CMOS Image Sensor with Switchable,,,29
Session 7,Ultra-High-Speed Wireline ,7.2,A 2.2pJ/b 212.5Gb/s PAM-4 Transceiver with >46dB Reach in 5nm,,,29
Session 7,Ultra-High-Speed Wireline ,7.4,A 112Gb/s DSP-Based PAM-4 Receiver with an LC-Resonator-,,,29
Session 7,Ultra-High-Speed Wireline ,7.6,A 2.06pJ/b 106.25Gb/s PAM-4 Receiver with 3-Tap FFE and 1-Tap,,,29
Session 8,Ultra-High-Speed Wireline ,8.8,Fine-Grained Spatial and Temporal Thermal Proﬁling of a 16nm,,,29
Session 8,Ultra-High-Speed Wireline ,8.9,An On-Cell Monitoring and Balancing System with Near-Field,,,30
Session 9,Ultra-High-Speed Wireline ,9.6,A 6.78MHz Single-Stage Regulating Rectiﬁer with Dual Outputs,,,30
Session 10,Ultra-High-Speed Wireline ,10.1,A 77GHz Hybrid TDMA-MIMO Phased-Array Radar with 186m,,,30
Session 10,Ultra-High-Speed Wireline ,10.5,A 28nm Multimode Multiband RF Transceiver with Harmonic-,,,30
Session 13,Ultra-High-Speed Wireline ,13.2,An 8.62μW 75dB-DRSoC End-to-End Spoken-Language-,,,30
Session 13,Ultra-High-Speed Wireline ,13.3,A Cryo-BiCMOS Controller for 9Be+-Trapped-Ion-Based Quantum,,,30
Session 13,Ultra-High-Speed Wireline ,13.4,Xiling: Cryo-CMOS 18-bit Dual-DAC Manipulator with 4.6μV,,,30
Session 14,Ultra-High-Speed Wireline ,14.3,A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-,,,30
Session 16,Ultra-High-Speed Wireline ,16.1,Tomahawk5: 51.2Tb/s 5nm Monolithic Switch Chip for AI/ML,,,30
Session 16,Ultra-High-Speed Wireline ,16.2,RNGD: A 5nm Tensor-Contraction Processor for Power-Efﬁcient,,,30
Session 8,Ultra-High-Speed Wireline ,8.1,Dynamic Guard-Band Features of the IBM zNext System,Germany,India,31
Session 8,Ultra-High-Speed Wireline ,8.2,Run-Time Power Management System by On-Die Power Sensor,Taiwan,United States,31
Session 8,Ultra-High-Speed Wireline ,8.3,A Dynamically Reconﬁgurable Digital-Integrated,United States,United States,31
Session 8,Ultra-High-Speed Wireline ,8.4,"A 4GHz, 0.69%-Accuracy Voltage-Droop Detector with Multiple",Korea,Korea,31
Session 8,Ultra-High-Speed Wireline ,8.5,A Command-Aware Hybrid LDO for Advanced HBM Interfaces with,Korea,Korea,32
Session 8,Ultra-High-Speed Wireline ,8.6,A 0.024mm2 All-Digital Fractional Output Divider with 257fs,China,China,32
Session 8,Ultra-High-Speed Wireline ,8.7,A Dual VDD-Temperature Sensor Employing Sensor Fusion with,United States,United States,32
Session 8,Ultra-High-Speed Wireline ,8.8,Fine-Grained Spatial and Temporal Thermal Proﬁling of a 16nm,United States,United States,32
Session 8,Ultra-High-Speed Wireline ,8.9,An On-Cell Monitoring and Balancing System with Near-Field,United Kingdom,United Kingdom,32
Session 9,Ubiquitous Power Delivery ,9.1,An 85-to-230VAC to 3.3-to-4.6VDC 1.52W Capacitor-Drop,China,China,33
Session 9,Ubiquitous Power Delivery ,9.2,A 400MHz Symbol-Power-Tracking (SPT) Supply Modulator with,United States,United States,33
Session 9,Ubiquitous Power Delivery ,9.3,A 74W/48V Monolithic-GaN Integrated Adjustable Multilevel,United States,United States,33
Session 9,Ubiquitous Power Delivery ,9.4,A 102ns/V 94.3%-Peak-Efﬁciency Symbol-Power-Tracking Supply,China,China,33
Session 9,Ubiquitous Power Delivery ,9.5,"A Sub-1V, 50mV Dropout LDO Using Pseudo-Impedance Buffer",Korea,Korea,33
Session 9,Ubiquitous Power Delivery ,9.6,A 6.78MHz Single-Stage Regulating Rectiﬁer with Dual Outputs,China,United States,33
Session 9,Ubiquitous Power Delivery ,9.7,A 6.78MHz 94.2% Peak Efﬁciency Class-E Transmitter with,China,China,34
Session 9,Ubiquitous Power Delivery ,9.8,A 50W 98%-Efﬁciency High-Power Wireless-Charging System,Korea,Korea,34
Session 9,Ubiquitous Power Delivery ,9.9,A Bi-Directional Dual-Path Boost-48V-Buck Hybrid Converter for,China,China,34
Session 9,Ubiquitous Power Delivery ,9.1,A 93%-Peak-Efﬁciency Battery-Input 12-to-36V-Output,China,China,34
Session 9,Ubiquitous Power Delivery ,9.11,A 98.3%-Peak-Efﬁciency Single-Mode Hybrid Buck-Boost,China,China,34
Session 10,Transceiver Chipsets for Communication and Radar ,10.1,A 77GHz Hybrid TDMA-MIMO Phased-Array Radar with 186m,China,China,35
Session 10,Transceiver Chipsets for Communication and Radar ,10.2,A 132-to-148GHz CMOS 4TX-4RX FMCW Radar Transceiver Array,China,China,35
Session 10,Transceiver Chipsets for Communication and Radar ,10.3,A D-Band 2D-Scalable 4×4 Active Reﬂective Relay with,Switzerland,Switzerland,35
Session 10,Transceiver Chipsets for Communication and Radar ,10.4,A 2-TRX IR-UWB Transceiver with Shared Antennas Supporting,Korea,Korea,35
Session 10,Transceiver Chipsets for Communication and Radar ,10.5,A 28nm Multimode Multiband RF Transceiver with Harmonic-,China,Singapore,35
Session 11,RF and mm-Wave Wireless Receivers ,11.1,A 256-Element Ka-Band CMOS Phased-Array Receiver Using,Japan,Japan,36
Session 11,RF and mm-Wave Wireless Receivers ,11.2,A Blocker-Tolerant Receiver with VCO-Based Non-Uniform,United States,Canada,36
Session 11,RF and mm-Wave Wireless Receivers ,11.3,A Compact Full-Duplex Receiver with Wideband Multi-Domain,China,China,36
Session 11,RF and mm-Wave Wireless Receivers ,11.4,A Gm-C RF Quadrature-Current-Generation Technique with 40dB,China,China,36
Session 11,RF and mm-Wave Wireless Receivers ,11.5,A 200MHz-BW Blocker-Tolerant Receiver with Fifth-Order,China,China,36
Session 12,Innovations from Outside the (ISSCC’s) Box ,12.1,Circuits that Solve Optimization Problems by Exploiting Physics,United States,United States,37
Session 12,Innovations from Outside the (ISSCC’s) Box ,12.2,p-Circuits: Neither Digital nor Analog,United States,United States,37
Session 12,Innovations from Outside the (ISSCC’s) Box ,12.3,Reversing Scattering to Perform Deep-Tissue Optical Imaging and,United States,United States,37
Session 12,Innovations from Outside the (ISSCC’s) Box ,12.4,Skin-Inspired Electronics: An Emerging Sensing and Computing,United States,United States,37
Session 13,Cool Computation Circuits ,13.1,A 0.22mm2 161nW Noise-Robust Voice-Activity Detection Using,China,China,38
Session 13,Cool Computation Circuits ,13.2,An 8.62μW 75dB-DRSoC End-to-End Spoken-Language-,Switzerland,Switzerland,38
Session 13,Cool Computation Circuits ,13.3,A Cryo-BiCMOS Controller for 9Be+-Trapped-Ion-Based Quantum,Germany,Japan,38
Session 13,Cool Computation Circuits ,13.4,Xiling: Cryo-CMOS 18-bit Dual-DAC Manipulator with 4.6μV,China,China,38
Session 13,Cool Computation Circuits ,13.5,An 18.5μW/qubit Cryo-CMOS Charge-Readout IC Demonstrating,France,France,38
Session 13,Cool Computation Circuits ,13.6,A Via-Programmable DNN-Processor Fabrication Toward 1/40th,Japan,Japan,38
Session 14,Compute-In-Memory ,14.1,A 22nm 104.5TOPS/W μ-NMC-Δ-IMC Heterogeneous STT-MRAM,Taiwan,Taiwan,39
Session 14,Compute-In-Memory ,14.2,"A 16nm 216kb, 188.4TOPS/W and 133.5TFLOPS/W Microscaling",Taiwan,United States,39
Session 14,Compute-In-Memory ,14.3,A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-,China,China,39
Session 14,Compute-In-Memory ,14.4,A 51.6TFLOPS/W Full-Datapath CIM Macro Approaching Sparsity,China,China,39
Session 14,Compute-In-Memory ,14.5,A 28nm 192.3TFLOPS/W Accurate/Approximate Dual-Mode-,China,China,40
Session 14,Compute-In-Memory ,14.6,A 28nm 64kb Bit-Rotated Hybrid-CIM Macro with an Embedded,China,China,40
Session 14,Compute-In-Memory ,14.7,"NeuroPilot: A 28nm, 69.4fJ/node and 0.22ns/node, 32×32",China,China,40
Session 15,Compute-In-Memory ,15.1,A 3.9mW 200words/min Neural Signal Processor in Speech,Taiwan,Taiwan,41
Session 15,Compute-In-Memory ,15.2,A 1024-Channel 0.00029mm2/ch 74nW/ch Online Spatial,Netherlands,United States,41
Session 15,Compute-In-Memory ,15.3,A 65nm Uncertainty-Quantiﬁable Ventricular Arrhythmia,United States,United States,41
Session 15,Compute-In-Memory ,15.4,A Neuroprosthetic SoC with Sensory Feedback Featuring,Canada,Taiwan,41
Session 15,Compute-In-Memory ,15.5,Event-Based Spatially Zooming Neural Interface IC with,Canada,Canada,42
Session 15,Compute-In-Memory ,15.6,A 3.47 NEF 175.2dB FOMS Direct Digitization Front-End Featuring,Switzerland,United States,42
Session 15,Compute-In-Memory ,15.7,A 4.6μW 3.3-NEF Biopotential Ampliﬁer with 133VPP,Korea,United States,42
Session 16,Invited Industry ,16.1,Tomahawk5: 51.2Tb/s 5nm Monolithic Switch Chip for AI/ML,United States,United States,43
Session 16,Invited Industry ,16.2,RNGD: A 5nm Tensor-Contraction Processor for Power-Efﬁcient,Korea,Korea,43
Session 16,Invited Industry ,16.3,An On-Device Generative AI Focused Neural Processing Unit in,Korea,Korea,43
Session 16,Invited Industry ,16.4,SambaNova SN40L: A 5nm 2.5D Dataﬂow Accelerator With Three,United States,United States,43
Session 17,Hardware Security ,17.1,Sensor-Less Laser Voltage-Probing Attack Detection via,Singapore,China,44
Session 17,Hardware Security ,17.2,A 28nm 4.05μJ/Encryption 8.72kHMul/s Reconﬁgurable,China,China,44
Session 17,Hardware Security ,17.3,A 30.4GOPS/mW MK-CKKS Processor for Secure Multi-Party,Taiwan,Taiwan,44
Session 17,Hardware Security ,17.4,An Efﬁcient Vth-Tilting PUF Design in 3nm GAA and 8nm FinFET,Korea,Korea,44
Session 17,Hardware Security ,17.5,An Eye-Opening Arbiter PUF for Fingerprint Generation Using,Germany,Germany,44
Session 17,Hardware Security ,17.6,A 100MHz Self-Calibrating RC Oscillator Capable of Clock-Glitch,United States,United States,44
Session 18,Noise-Shaping and SAR-Based ADCs ,18.1,A Fully Dynamic Noise-Shaping SAR ADC Achieving 120dB SNDR,China,China,45
Session 18,Noise-Shaping and SAR-Based ADCs ,18.2,A 12.2μW 99.6dB-SNDR 184.8dB-FoMS DT Zoom PPD ΔΣM with,China,China,45
Session 18,Noise-Shaping and SAR-Based ADCs ,18.3,"A 93.3dB SNDR, 180.4dB FoMS",China,China,45
Session 18,Noise-Shaping and SAR-Based ADCs ,18.4,A 184.8dB FoMS 1.6MS/s Incremental Noise-Shaping Pipeline,China,China,45
Session 18,Noise-Shaping and SAR-Based ADCs ,18.5,A Rail-to-Rail 3rd-Order Noise-Shaping SAR ADC Achieving,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs ,18.6,An Easy-Drive 16MS/s Pipelined-SAR ADC Using Split,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs ,18.7,A 70dB SNDR 80MHz BW Filter-Embedded Pipeline-SAR ADC,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs ,18.8,A Cryo-CMOS 800MS/s 7b CI-SAR with only 4fF Input Capacitance,Belgium,Belgium,46
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.1,A PVT-Robust 5.5GHz Fractional-N Cascaded RO-Based Digital,China,Portugal,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.2,"A 96fsrms-Jitter, -70.6dBc-Fractional-Spur Cascaded PLL",Japan,Japan,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.3,A Fractional-N PLL with 34fsrms Jitter and -255.5dB FoM Based,Taiwan,Taiwan,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.4,An 8.1-to-9.9GHz Single-Core Pseudo-Series-Resonance,Ireland,United Kingdom,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.5,A Differential Series-Resonance CMOS VCO with,China,China,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.6,A 60GHz I/Q-Calibrated SSB-Mixer-Based LO with Sub-ns Settling,Korea,Korea,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.7,A 27GHz Fractional-N Sub-Sampling PLL Achieving 57.9fsrms,China,Portugal,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.8,A 0.65V-VDD 10.4-to-11.8GHz Fractional-N Sampling PLL,China,China,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.9,"An 11-to-16.4GHz, 3.4GHz/μs-Slope, 5.32GHz-Chirp-Bandwidth,",China,China,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.1,A 4.6GHz 63.3fsrms PLL-XO Co-Design Using a Self-Aligned,Switzerland,Switzerland,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs ,19.11,A 13GHz Charge-Pump PLL Achieving 15.8fsrms Integrated Jitter,China,China,48
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.1,A 3.5×3.5mm2 1.47mW/ch 16-Channel MSS-CMOS,Japan,United States,49
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.2,"A 67μW/channel, 0.13nW/synapse/b Nose-on-a-Chip for",China,Taiwan,49
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.3,An RFID-Inspired One-Step Packaged Multimode Bio-,United States,Taiwan,49
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.4,MEMS-Free 4096-Pixel CMOS E-Nose Gas-Sensor Array with,Switzerland,Switzerland,49
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.5,Millimeter-Sized 0.1pM LoD Wireless 16-Channel,China,China,49
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.6,Fully Integrated Self-Propelling Microrobot in 180nm CMOS with,China,China,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.7,A 384-Site Chip Platform for Biochemical Applications with,Ireland,United Kingdom,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.8,A 94.8nW Battery-Free Intelligent Silicon Platform Enabling,China,Portugal,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.9,An Autonomous and Lightweight Microactuator Driving System,France,France,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.1,A 200GHz 200-Pixel 2D Near-Field Imager for Biomedical,United States,United States,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.11,A Crystal-less BodyID with an Asynchronous Clockless,United States,United States,50
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.12,A 3×3.3mm Conﬁgurable γ Photon Spectrometer for Precision,United States,United States,50
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.1,A 12A 89.3% Peak Efﬁciency and 26mV Undershoot 12-to-1V,China,China,51
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.2,A Dual-Input Bidirectional 3-Level Battery Charger with,Korea,Korea,51
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.3,A Segmented-Interlacing Multi-Phase Hybrid Converter with,China,Portugal,51
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.4,A 97.4%-Peak-Efﬁciency Always-Half-Inductor-Current Hybrid,Korea,Korea,51
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.5,A Fully Integrated Multi-Phase Voltage Regulator with Enhanced,United States,United States,51
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.6,A 2A Fully Analog Distribution LDO with Noise Immunity for an,Korea,Korea,52
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.7,Merging Hybrid and Multi-Phase Topologies: A 6-Phase,United States,France,52
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.8,HOOP: A Scalable Hybrid DC-DC Converter Ring for,China,Germany,52
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.9,A 20MHz & 1MHz Dual-Loop Non-Uniform-Multi-Inductor,China,China,52
Session 22,Frequency Synthesizers and Series-Resonance VCOs ,22.1,A 0.275pJ/b 42Gb/s/pin Clock-Referenced PAM3 Transceiver,Korea,United States,53
Session 22,Frequency Synthesizers and Series-Resonance VCOs ,22.2,An 850μW 2-to-5GHz Jitter-Filtering and Instant-Toggling,Korea,Korea,53
Session 22,Frequency Synthesizers and Series-Resonance VCOs ,22.3,A 42Gb/s Single-Ended Hybrid-DFE PAM-3 Receiver for GDDR7,Korea,Korea,53
Session 22,Frequency Synthesizers and Series-Resonance VCOs ,22.4,A 32-to-50Gb/s/pin Single-Ended PAM-4 Transmitter with a,Korea,Korea,53
Session 22,Frequency Synthesizers and Series-Resonance VCOs ,22.5,A 0.3pJ/b 32Gb/s/pin Single-Ended PAM-4 Receiver with a,Korea,Korea,53
Session 11,Frequency Synthesizers and Series-Resonance VCOs ,11.1,A 256-Element Ka-Band CMOS Phased-Array Receiver Using,,,54
Session 11,Frequency Synthesizers and Series-Resonance VCOs ,11.4,A Gm-C RF Quadrature-Current-Generation Technique with 40dB,,,54
Session 15,Frequency Synthesizers and Series-Resonance VCOs ,15.3,A 65nm Uncertainty-Quantiﬁable Ventricular Arrhythmia,,,54
Session 16,Frequency Synthesizers and Series-Resonance VCOs ,16.1,Tomahawk5: 51.2Tb/s 5nm Monolithic Switch Chip for AI/ML,,,54
Session 16,Frequency Synthesizers and Series-Resonance VCOs ,16.2,RNGD: A 5nm Tensor-Contraction Processor for Power-Efﬁcient,,,54
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.4,MEMS-Free 4096-Pixel CMOS E-Nose Gas-Sensor Array with,,,54
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.7,A 384-Site Chip Platform for Biochemical Applications with,,,54
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.1,A 200GHz 200-Pixel 2D Near-Field Imager for Biomedical,,,54
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.11,A Crystal-less BodyID with an Asynchronous Clockless,,,54
Session 20,Frequency Synthesizers and Series-Resonance VCOs ,20.12,A 3×3.3mm Conﬁgurable γ Photon Spectrometer for Precision,,,54
Session 21,Frequency Synthesizers and Series-Resonance VCOs ,21.5,A Fully Integrated Multi-Phase Voltage Regulator with Enhanced,,,54
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.2,A 28nm 0.22μJ/Token Memory-Compute-Intensity-Aware,,,54
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.3,EdgeDiff: 418.4mJ/Inference Multi-Modal Few-Step Diffusion,,,54
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.7,BROCA: A 52.4-to-559.2mW Mobile Social Agent System-on-Chip,,,54
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.9,Slim-Llama: A 4.69mW Large-Language-Model Processor with,,,54
Session 25,Frequency Synthesizers and Series-Resonance VCOs ,25.2,A 4GS/s Fully Analog 256×256 MP-Based Cross-Correlator with,,,54
Session 27,Frequency Synthesizers and Series-Resonance VCOs ,27.1,A 3-Axis MEMS Gyroscope with 2.8ms Wake-Up Time Enabled by,,,55
Session 27,Frequency Synthesizers and Series-Resonance VCOs ,27.5,"A 4,100μm2 Wire-Metal-Based Temperature Sensor with a",,,55
Session 29,Frequency Synthesizers and Series-Resonance VCOs ,29.4,A 38Mb/mm2 380/540mV Dual-Rail SRAM in 3nm-FinFET,,,55
Session 36,Frequency Synthesizers and Series-Resonance VCOs ,36.3,A 0.29pJ/b 5.27Tb/s/mm UCIe Advanced Package Link in 3nm,,,55
Session 37,Frequency Synthesizers and Series-Resonance VCOs ,37.2,A 2-Dimensional mm-Scale Network-on-Textiles (kNOTs) for,,,55
Session 37,Frequency Synthesizers and Series-Resonance VCOs ,37.4,SHINSAI: A 586mm2 Reusable Active TSV Interposer with,,,55
Session 37,Frequency Synthesizers and Series-Resonance VCOs ,37.7,A 28nm 18.1μJ/Acquisition End-to-End GPS Acquisition,,,55
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.1,T-REX: A 68-to-567μs/Token 0.41-to-3.95μJ/Token Transformer,United States,United States,57
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.2,A 28nm 0.22μJ/Token Memory-Compute-Intensity-Aware,China,China,57
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.3,EdgeDiff: 418.4mJ/Inference Multi-Modal Few-Step Diffusion,Korea,Korea,57
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.4,Nebula: A 28nm 109.8TOPS/W 3D PNN Accelerator Featuring,China,China,57
Session 23,Frequency Synthesizers and Series-Resonance VCOs ,23.5,MAE: A 3nm 0.168mm2 576MAC Mini Autoencoder with,Taiwan,Taiwan,58
